ip_address,device_id,otp_delay,geo_distance,login_time,attempt_count,browser_info,is_new_ip,past_failures,network_type
223.69.120.109,dev_242,15,13591.32,21:31,5,Opera,True,1,Ethernet
19.69.217.15,dev_250,62,3162.09,02:26,6,Opera,False,2,VPN
28.99.252.121,dev_60,5,8229.47,15:57,5,Edge,False,2,WiFi
17.212.99.116,dev_76,79,3364.3,21:20,5,Chrome,True,3,Mobile
152.227.12.227,dev_98,62,2275.4,14:59,4,Firefox,False,5,Ethernet
175.55.139.241,dev_258,30,7397.84,22:47,5,Edge,False,5,Ethernet
16.19.122.37,dev_240,14,7076.78,16:54,3,Opera,False,4,Ethernet
191.229.9.174,dev_103,71,9595.8,19:30,1,Opera,True,0,Ethernet
206.136.13.101,dev_21,33,695.56,12:28,5,Opera,True,0,Ethernet
225.153.72.130,dev_256,43,3364.91,20:52,3,Opera,True,3,Ethernet
223.127.170.167,dev_280,54,8971.57,10:26,6,Edge,False,1,Mobile
158.87.222.234,dev_156,25,12547.9,20:56,6,Edge,True,3,WiFi
110.124.163.254,dev_282,83,12838.68,09:05,4,Edge,True,1,Ethernet
170.83.242.102,dev_76,30,2800.29,08:44,2,Safari,True,4,WiFi
158.68.121.251,dev_91,29,3661.95,21:20,6,Edge,False,4,Mobile
96.33.224.162,dev_108,48,3817.57,07:29,5,Chrome,True,4,Ethernet
42.14.49.172,dev_248,64,8956.9,04:23,6,Opera,True,0,WiFi
222.34.242.27,dev_253,34,12500.72,08:12,5,Chrome,False,3,WiFi
226.202.230.120,dev_47,29,12877.02,18:28,6,Firefox,False,5,WiFi
70.104.180.185,dev_152,50,13793.34,13:21,6,Safari,True,2,WiFi
252.169.241.143,dev_167,85,1056.08,18:30,4,Edge,False,2,VPN
205.151.57.81,dev_30,2,2572.75,13:15,4,Opera,True,4,VPN
65.150.60.19,dev_275,25,2272.29,19:15,4,Edge,True,3,WiFi
49.144.178.178,dev_198,61,5499.51,01:13,3,Edge,True,3,WiFi
250.20.8.163,dev_266,62,850.18,06:21,4,Edge,False,5,VPN
